conc,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
2.5,0.160143997,0.163280318,0.157983563,0.158580093,0.151881448,0.137964223,0.150666356,0.159362629,0.187804839,0.176043971
5,0.31864692,0.316544304,0.312716661,0.302301572,0.300744421,0.256799947,0.299847966,0.27390415,0.335913304,0.330042701
25,1.596908725,1.63530999,1.53620836,1.548265603,1.521908298,1.497716431,1.564807198,1.462895554,1.709268636,1.655226834
50,3.293068041,3.294830918,3.254440901,3.246489137,3.039498224,3.237660395,3.266264777,3.061265287,3.53426373,3.42603651
75,5.035121716,5.159910793,5.050065136,5.094593588,5.066782289,5.337033808,5.383231938,5.220906722,5.713332249,5.204254985
100,6.56385315,6.811339718,6.798707281,6.85225482,6.464773963,6.916607709,7.191551522,6.722913919,7.581247492,6.937708918
150,10.15733885,10.22222501,9.977548033,10.26908703,9.564203492,10.38004238,10.18539492,9.811865962,10.35833428,10.34520979
200,13.39445109,13.96897087,13.63115225,13.58395017,13.60112411,14.2722798,14.2633665,14.41944969,14.73899597,14.10872568
