conc,run1,run2,run3
1,0.463877702,0.45847554,0.484347608
1.5,0.672819785,0.674004067,0.748219373
2,0.926309054,0.881423488,1.026361196
2.5,1.155224152,1.077596867,1.236707239
3,1.371667586,1.342625,1.597173603
4,1.909969864,1.808982684,2.097039711
5,2.308745247,2.21972219,2.547279571
6,2.675136497,2.760301,3.139280454
8,3.636455594,3.816111169,4.240542763
10,4.554772667,4.908265213,5.366694108
