conc,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11
2,2.198,1.825,2.144,2.108,2.065,1.81,1.993,1.829,1.786,2.044,1.851
2,2.161,1.851,2.182,1.972,2.152,1.795,1.931,1.826,1.785,1.896,1.701
5,4.885,5.067,4.893,4.986,4.884,4.377,4.969,4.475,4.801,4.731,4.405
5,4.869,5.266,5.037,4.906,4.913,4.672,4.641,4.549,4.535,4.718,4.472
5,4.806,5.086,5.141,4.867,4.863,4.684,4.737,4.388,4.611,4.709,4.402
10,9.952,9.945,9.851,10.306,10.054,9.219,9.493,9.732,9.327,,8.609
10,9.91,10.235,9.94,10.299,9.616,9.249,9.091,9.322,8.988,10.972,
11,,,,,,,,,,,
