conc,run1
1,0.521421496
1,0.463877702
1,0.45847554
1.5,0.744942649
1.5,0.672819785
1.5,0.674004067
2,0.988877985
2,0.926309054
2,0.881423488
2.5,1.110831762
2.5,1.155224152
2.5,1.077596867
3,1.395733231
3,1.371667586
3,1.342625
4,1.984260558
4,1.909969864
4,1.808982684
5,2.39435325
5,2.308745247
5,2.21972219
6,2.888517745
6,2.675136497
6,2.760301
8,3.911409806
8,3.636455594
8,3.816111169
10,4.903667482
10,4.554772667
10,4.908265213
