conc,run1
1,0.521421496
1,0.463877702
1,0.45847554
2.25,0.744942649
2.25,0.672819785
2.25,0.674004067
4,0.988877985
4,0.926309054
4,0.881423488
6.25,1.110831762
6.25,1.155224152
6.25,1.077596867
9,1.395733231
9,1.371667586
9,1.342625
16,1.984260558
16,1.909969864
16,1.808982684
25,2.39435325
25,2.308745247
25,2.21972219
36,2.888517745
36,2.675136497
36,2.760301
64,3.911409806
64,3.636455594
64,3.816111169
100,4.903667482
100,4.554772667
100,4.908265213
